relation,layer,head,accuracy_select,n_correct_select,n_total_select,accuracy_test,n_correct_test,n_total_test,accuracy_dev,n_correct_dev,n_total_dev
object_det_to_noun,21,9,0.01306076093128904,23,1761,0.012690355329949238,5,394,0.0045871559633027525,2,436
object_det_to_noun,21,10,0.0028392958546280523,5,1761,0.0,0,394,0.0,0,436
object_det_to_noun,21,11,0.004542873367404884,8,1761,0.005076142131979695,2,394,0.0,0,436
object_det_to_noun,21,12,0.0017035775127768314,3,1761,0.0025380710659898475,1,394,0.0022935779816513763,1,436
object_det_to_noun,21,13,0.08631459398069279,152,1761,0.1116751269035533,44,394,0.09174311926605505,40,436
object_det_to_noun,21,14,0.07211811470755253,127,1761,0.06091370558375635,24,394,0.06192660550458716,27,436
object_det_to_noun,21,15,0.0005678591709256105,1,1761,0.0,0,394,0.0,0,436
object_det_to_noun,21,16,0.05224304372515616,92,1761,0.0532994923857868,21,394,0.052752293577981654,23,436
object_det_to_noun,21,17,0.12379329926178308,218,1761,0.12944162436548223,51,394,0.12385321100917432,54,436
object_det_to_noun,21,18,0.10675752413401476,188,1761,0.09137055837563451,36,394,0.11697247706422019,51,436
object_det_to_noun,21,19,0.1249290176036343,220,1761,0.116751269035533,46,394,0.1353211009174312,59,436
object_det_to_noun,21,20,0.009085746734809767,16,1761,0.007614213197969543,3,394,0.0045871559633027525,2,436
object_det_to_noun,21,21,0.2561044860874503,451,1761,0.26903553299492383,106,394,0.27293577981651373,119,436
object_det_to_noun,21,22,0.06871095968199886,121,1761,0.06598984771573604,26,394,0.05733944954128441,25,436
object_det_to_noun,21,23,0.18682566723452584,329,1761,0.1700507614213198,67,394,0.2018348623853211,88,436
object_det_to_noun,21,24,0.1141396933560477,201,1761,0.11421319796954314,45,394,0.12385321100917432,54,436
object_det_to_noun,21,25,0.12208972174900624,215,1761,0.13705583756345177,54,394,0.12844036697247707,56,436
object_det_to_noun,21,26,0.0817717206132879,144,1761,0.07360406091370558,29,394,0.06880733944954129,30,436
object_det_to_noun,21,27,0.0868824531516184,153,1761,0.09898477157360407,39,394,0.08944954128440367,39,436
object_det_to_noun,22,0,0.054514480408858604,96,1761,0.04314720812182741,17,394,0.05504587155963303,24,436
object_det_to_noun,22,1,0.16240772288472458,286,1761,0.16751269035532995,66,394,0.16055045871559634,70,436
object_det_to_noun,22,2,0.03236797274275979,57,1761,0.03807106598984772,15,394,0.02981651376146789,13,436
object_det_to_noun,22,3,0.09426462237365134,166,1761,0.08375634517766498,33,394,0.10321100917431193,45,436
