treebank,timestep,normalized_progress,depth,position_state,top1,top5,mrr,mean_rank,n_positions,n_seeds
UD_English-EWT,32,0.5,21,visible,0.017674414165781825,0.0663209793671488,0.04410393047901712,6829.842652697677,29512,3
UD_English-EWT,32,0.5,22,masked,0.020839198522982105,0.07150463696300025,0.05175402967436412,5068.939299933459,18932,3
UD_English-EWT,32,0.5,22,visible,0.01678524601301487,0.06570569867881025,0.043570253621624144,6873.664488377333,29512,3
UD_English-EWT,32,0.5,23,masked,0.023859338463583162,0.08464917271861168,0.05981172768869062,4560.955196519127,18932,3
UD_English-EWT,32,0.5,23,visible,0.01835484122142365,0.06776356280046524,0.04604960020309814,6255.2200375946995,29512,3
UD_English-EWT,32,0.5,24,masked,0.02741434843563695,0.09437094690175186,0.06566394993335765,4570.534115631573,18932,3
UD_English-EWT,32,0.5,24,visible,0.015140390025753273,0.060534298239730944,0.04045153559281372,6793.437106475133,29512,3
UD_English-EWT,32,0.5,25,masked,0.028414598795035422,0.10099782915158934,0.06993816052119707,4394.014847900975,18932,3
UD_English-EWT,32,0.5,25,visible,0.012949446277316187,0.057063487237676125,0.038148885849860405,6510.518368932529,29512,3
UD_English-EWT,32,0.5,26,masked,0.031025032377137936,0.10659227721670994,0.0746883802026957,4214.944810599401,18932,3
UD_English-EWT,32,0.5,26,visible,0.010376158916832117,0.049537327145966814,0.03357168639358019,6329.439143018324,29512,3
UD_English-EWT,32,0.5,27,masked,0.030050145304330006,0.12143178193898092,0.08025301679393697,3563.5518686434466,18932,3
UD_English-EWT,32,0.5,27,visible,0.0074284622564358095,0.04166717906738632,0.029464032793889938,5370.275038576877,29512,3
UD_English-EWT,32,0.5,28,masked,0.03472230508689397,0.14549268477444108,0.09390371332551677,3112.9809622842017,18932,3
UD_English-EWT,32,0.5,28,visible,0.005674114503397836,0.03323094996510861,0.025409073233074172,4789.974037645345,29512,3
UD_English-EWT,32,0.5,29,masked,0.03312630447380912,0.15386963585872518,0.09790029058196088,2652.9127444644378,18932,3
UD_English-EWT,32,0.5,29,visible,0.00523450889169669,0.029630010033960152,0.024591712013422567,4169.688873141279,29512,3
UD_English-EWT,32,0.5,30,masked,0.03026174342746084,0.15871680002122157,0.09983266183731733,2284.8364749693096,18932,3
UD_English-EWT,32,0.5,30,visible,0.005870475362438184,0.028109085775824407,0.02458831950449096,3612.2677324785436,29512,3
UD_English-EWT,32,0.5,31,masked,0.039027447501532926,0.1975590691552438,0.12155954792721309,1432.0601865211781,18932,3
UD_English-EWT,32,0.5,31,visible,0.004942758319675718,0.025531530456754017,0.02375881668693911,3400.071423572675,29512,3
UD_English-EWT,32,0.5,32,masked,0.043547501736493244,0.2091463710692135,0.12975931238463745,518.0839714877532,18932,3
UD_English-EWT,32,0.5,32,visible,0.005407946275705681,0.020103219686343186,0.019286025779131546,3138.075577828839,29512,3
UD_English-EWT,47,0.75,0,masked,0.0,0.0,0.0002239384852847588,14368.927752963607,12061,3
UD_English-EWT,47,0.75,0,visible,8.298916674979793e-05,0.00041652373539544443,0.0004902180031750173,25290.82289887636,36383,3
UD_English-EWT,47,0.75,1,masked,0.0,6.239860227130913e-05,0.0007470957073261259,8695.516245425726,12061,3
UD_English-EWT,47,0.75,1,visible,0.00014030175567388846,0.004754042385527354,0.004310852780285127,19341.763941881916,36383,3
UD_English-EWT,47,0.75,2,masked,0.00016768392549725141,0.0007921090039538785,0.002565883359435608,7591.326910068389,12061,3
UD_English-EWT,47,0.75,2,visible,2.6465528648934763e-05,0.0004951313705190214,0.0005503496726189753,16686.9697584456,36383,3
UD_English-EWT,47,0.75,3,masked,0.00037483066937139055,0.0011160089630011707,0.001666705341480032,9162.708409981225,12061,3
UD_English-EWT,47,0.75,3,visible,0.00019682539377475163,0.0009906995185481268,0.000948800049289013,17720.97174520302,36383,3
UD_English-EWT,47,0.75,4,masked,0.00043722927164269973,0.0007611292306899919,0.0015497370590646913,10127.60007604069,12061,3
UD_English-EWT,47,0.75,4,visible,0.000831469569144434,0.0029778821544955217,0.0024910166393959585,15629.813999570377,36383,3
UD_English-EWT,47,0.75,5,masked,0.0010340984794131854,0.003023808857229317,0.0027380029656823694,10837.228842237839,12061,3
UD_English-EWT,47,0.75,5,visible,0.002386968691191108,0.0073201360229770175,0.005506422629572265,13851.146490300225,36383,3
UD_English-EWT,47,0.75,6,masked,0.002435422694571832,0.005478743433117825,0.005014812357508245,10157.896333724057,12061,3
UD_English-EWT,47,0.75,6,visible,0.003578086184316981,0.010205040219136987,0.00782413388068925,11756.194675827928,36383,3
UD_English-EWT,47,0.75,7,masked,0.0031265483893645855,0.007099560395584893,0.006673802471945683,9486.638843999239,12061,3
UD_English-EWT,47,0.75,7,visible,0.004557479448251374,0.011421482116775425,0.009083045840112986,11050.825726001174,36383,3
UD_English-EWT,47,0.75,8,masked,0.0022672997133310452,0.0065387301036135504,0.005438537951953401,10341.692009333323,12061,3
UD_English-EWT,47,0.75,8,visible,0.005495600082814775,0.01374894669652422,0.010617255982739084,11564.582384492873,36383,3
UD_English-EWT,47,0.75,9,masked,0.0021824043829088502,0.005496148579087363,0.004804920292417769,10402.487854513296,12061,3
UD_English-EWT,47,0.75,9,visible,0.005218941325583135,0.01337764084908598,0.010224124964977398,10817.848871295913,36383,3
UD_English-EWT,47,0.75,10,masked,0.002003252565464388,0.0065187791665533385,0.005440478173961005,9352.58439766447,12061,3
UD_English-EWT,47,0.75,10,visible,0.005409716055860617,0.013752272212681086,0.010584222635328704,9858.866599217365,36383,3
UD_English-EWT,47,0.75,11,masked,0.0022019162642255264,0.006058175055272681,0.005697008338363979,9398.070628450643,12061,3
UD_English-EWT,47,0.75,11,visible,0.0053304112046084805,0.014146627346856877,0.010859699495806561,10384.24698836661,36383,3
UD_English-EWT,47,0.75,12,masked,0.003416483728313781,0.010785150414300587,0.008954067261494449,8420.234277407539,12061,3
UD_English-EWT,47,0.75,12,visible,0.006234528471133742,0.016503009920861376,0.01247661558786857,9821.254320712635,36383,3
UD_English-EWT,47,0.75,13,masked,0.004829275835419639,0.01375548277011513,0.010815960788707302,8457.68720834375,12061,3
