layer,head,entropy,entropy_norm,entropy_no_sink,sink_mass,n_sentences,diffusion_time
7,10,1.7051855297386647,0.6041759484261274,1.640208154246211,0.13442056433064864,400,63
7,11,1.8249313697218894,0.647478352561593,1.7647703057527542,0.05940465790394228,400,63
7,12,1.6212644863128662,0.5755895829200744,1.5652817928791045,0.03882664342061617,400,63
7,13,1.6850377514958381,0.6004312313348055,1.6418620233237744,0.040390992501052096,400,63
7,14,2.175743729919195,0.7589478120952845,2.109969974756241,0.10841852709883824,400,63
7,15,1.4678509146720171,0.5317142169550061,1.4013053958117963,0.07977118906739633,400,63
7,16,2.2486491921544074,0.7940603894740343,2.1968214499950407,0.036694253499154,400,63
7,17,2.2848996758460998,0.8019161064177751,2.220276517868042,0.07577368545928038,400,63
7,18,1.9044685308635234,0.6738944548368454,1.8647689746320248,0.022682732994435354,400,63
7,19,1.8963578590750694,0.6672425689548254,1.8044601781666278,0.11519225221825763,400,63
7,20,1.5385111787915229,0.5474152308702469,1.4798425954580308,0.07747653892729431,400,63
7,21,2.173029648065567,0.7657977467775345,2.122096004486084,0.03118042168294778,400,63
7,22,2.282100293934345,0.7993817244470119,2.268661683499813,0.17812196290120483,400,63
7,23,1.5551942176371814,0.561070897448808,1.4922879921272396,0.07512155372824054,400,63
7,24,2.157688748538494,0.7565022538602352,2.0806857588887215,0.08167289963457733,400,63
7,25,2.1283910030126574,0.7540936736762524,2.0479753005504606,0.08069928675773554,400,63
7,26,2.336493498980999,0.8184945145249367,2.2680207224190236,0.1060028129897546,400,63
7,27,2.075820422768593,0.7316376207768918,2.016340095102787,0.07083531044889241,400,63
8,0,2.011492573618889,0.7093348471820354,1.955605728328228,0.06442221784731374,400,63
8,1,2.0443829730153085,0.7122233724594116,2.0205652984976767,0.2103737974446267,400,63
8,2,1.9333276525139809,0.6767948423326016,1.8728563925623893,0.13214343619532884,400,63
8,3,1.9147478350996971,0.6678431057929992,1.8410798068344594,0.16752378086093814,400,63
8,4,1.872516861706972,0.6463699907064437,1.8392933777719735,0.21794719234574586,400,63
8,5,2.2190918609499932,0.781567272245884,2.1416212624311446,0.09516496955649928,400,63
8,6,1.5282674945890904,0.5490093202143908,1.4683400163054465,0.09867429303005337,400,63
8,7,1.7032892920076848,0.6021060159802437,1.6536759226024151,0.09744392626336776,400,63
8,8,1.7877282530069352,0.6302857757359743,1.7150315441191197,0.10431594026391394,400,63
8,9,1.8577902659773826,0.6488264862447977,1.8023236679285766,0.1262970558158122,400,63
8,10,1.937379713356495,0.6845439762622118,1.886985107511282,0.07951484886580147,400,63
8,11,2.0411898830533026,0.7200531047582627,1.989696859717369,0.06871699307579547,400,63
8,12,1.8382966396212579,0.6502686021476984,1.7879484535753727,0.06291289861721452,400,63
8,13,1.6847433413565158,0.5911165738850832,1.6265874898433685,0.12358335120603442,400,63
8,14,1.4045190969109536,0.5040143974125385,1.340338371694088,0.09031080700166058,400,63
8,15,1.6238922256231307,0.5854203126579524,1.5589765924215317,0.06591526026837528,400,63
8,16,1.5409582889825106,0.5535652041435242,1.4751522971689701,0.047045645427569976,400,63
8,17,1.2590304301679134,0.45603735104203225,1.1969211781024933,0.13900186776998452,400,63
8,18,1.4333572612702847,0.5049397664517165,1.4033732172846793,0.2568235820485279,400,63
8,19,1.390549461245537,0.5005788322165609,1.3032262558490038,0.08581104700628202,400,63
8,20,1.557987907975912,0.5562104946374893,1.4890912503004075,0.1077764944511,400,63
8,21,0.8510573349148035,0.3026718056760728,0.7636551722511649,0.16969173378078267,400,63
8,22,0.6994358947500586,0.2533056924492121,0.6283421126753092,0.07654034343533567,400,63
8,23,0.6607163518667221,0.24382325317710637,0.6111063665524125,0.0645520160837259,400,63
8,24,0.4539519669115543,0.17208772232057526,0.39169349351897836,0.1253954740480549,400,63
8,25,1.1474907686561346,0.4096251964569092,1.0925696462020278,0.12290449279127642,400,63
8,26,1.1082637133449316,0.39550746880471704,1.0667469612881542,0.11746142306597904,400,63
8,27,0.4375442473590374,0.16798920306842774,0.36822407837957144,0.10211391541386547,400,63
9,0,1.9555368834733964,0.6951232316344976,1.9002234742045403,0.0551807056760299,400,63
9,1,1.9683622592687606,0.6949875678867101,1.9075437948107719,0.1287687357608229,400,63
9,2,1.256384794898331,0.4425201577693224,1.2372221314162015,0.10059123390790774,400,63
